member_id,name,age,join_date,status,tier,last_visit
1083,Member 83,25,2023-11-10,Churned,VIP,2024-01-03
1084,Member 84,32,2023-01-22,Churned,VIP,2024-03-25
1085,Member 85,44,2023-01-03,Churned,VIP,2024-01-26
1086,Member 86,63,2023-05-07,Churned,VIP,2024-03-12
1087,Member 87,24,2023-10-24,Active,Gold,2024-02-17
1088,Member 88,20,2023-07-07,Churned,VIP,2024-03-06
1089,Member 89,46,2023-12-28,Churned,Gold,2024-03-10
1090,Member 90,61,2023-01-14,Churned,VIP,2024-01-28
1091,Member 91,41,2023-01-12,Churned,Gold,2024-01-26
1092,Member 92,20,2023-03-28,Churned,Silver,2024-01-25
1093,Member 93,37,2023-01-12,Active,Gold,2024-01-12
1094,Member 94,63,2023-01-25,Active,Gold,2024-01-05
1095,Member 95,32,2023-10-28,Active,VIP,2024-02-17
1096,Member 96,42,2023-08-31,Churned,Gold,2024-02-06
1097,Member 97,47,2023-05-02,Active,Silver,2024-03-19
1098,Member 98,31,2023-05-27,Active,Silver,2024-02-13
1099,Member 99,24,2023-02-24,Churned,VIP,2024-01-15
